name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"De Gregorio Rebeco, José",Ricardo Lagos,2000-03-11,2006-03-11,Minería,2000-03-11,2001-06-19,465,40,2000,0,1,1,0,0,0,0
"González Larraín, Santiago",Michelle Bachelet,2006-03-11,2010-03-11,Minería,2008-01-08,2010-03-11,793,51,2008,0,2,1,0,0,0,1
"Hurtado Ruiz-Tagle, Carlos",Patricio Aylwin,1990-03-11,1994-03-11,Obras Públicas,1990-03-11,1994-03-11,1461,53,1990,0,2,0,0,1,0,1
"Lagos Escobar, Ricardo",Eduardo Frei,1994-03-11,2000-03-11,Obras Públicas,1994-03-11,1998-08-01,1604,56,1994,0,0,0,0,0,0,0
"Tohá González, Jaime",Eduardo Frei,1994-03-11,2000-03-11,Obras Públicas,1998-08-01,2000-03-09,586,60,1998,0,1,1,0,0,0,0
"Figueroa Serrano, Carlos",Eduardo Frei,1994-03-11,2000-03-11,Relaciones Exteriores,1994-03-11,1994-09-20,193,64,1994,0,1,0,0,1,0,0
"Moreno Charme, Alfredo",Sebastián Piñera,2010-03-11,2014-03-11,Relaciones Exteriores,2010-03-11,2014-03-11,1461,53,2010,0,2,0,0,1,0,1
"Silva Cimma, Enrique",Patricio Aylwin,1990-03-11,1994-03-11,Relaciones Exteriores,1990-03-11,1994-03-11,1461,71,1990,0,2,1,0,1,0,0
"Valdés Soublette, Juan Gabriel",Eduardo Frei,1994-03-11,2000-03-11,Relaciones Exteriores,1999-06-22,2000-03-11,263,52,1999,0,0,0,0,0,0,0
"Walker Prieto, Ignacio",Ricardo Lagos,2000-03-11,2006-03-11,Relaciones Exteriores,2004-09-29,2006-03-11,528,48,2004,0,2,0,1,1,0,0
"Alvear Valenzuela, Soledad",Ricardo Lagos,2000-03-11,2006-03-11,Relaciones Exteriores,2000-03-11,2004-09-29,1663,49,2000,1,1,1,0,0,0,0
