name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Dulanto Rencoret, Alfonso",Ricardo Lagos,2000-03-11,2006-03-11,Minería,2002-01-07,2006-03-11,1524,58,2002,0,1,0,0,0,0,1
"Golborne Riveros, Laurence",Sebastián Piñera,2010-03-11,2014-03-11,Minería,2010-03-11,2011-07-18,494,48,2010,0,1,0,0,0,0,1
"Hales Jamarne, Alejandro",Patricio Aylwin,1990-03-11,1994-03-11,Minería,1992-09-28,1994-03-11,529,69,1992,0,2,1,0,1,0,0
"Hamilton Depassier, Juan",Patricio Aylwin,1990-03-11,1994-03-11,Minería,1990-03-11,1992-09-28,932,62,1990,0,3,0,1,1,1,0
"Jiménez Moraga, Sergio",Eduardo Frei,1994-03-11,2000-03-11,Minería,1997-08-13,2000-03-11,941,64,1997,0,3,1,0,1,0,1
"Rodríguez Grossi, Jorge",Ricardo Lagos,2000-03-11,2006-03-11,Minería,2001-06-19,2002-01-07,202,53,2001,0,2,1,0,0,0,1
"Teplizky Lijavetzky, Benjamín",Eduardo Frei,1994-03-11,2000-03-11,Minería,1994-03-11,1997-08-03,1241,61,1994,0,3,1,0,1,0,1
"Poniachik Pollak, Karen",Michelle Bachelet,2006-03-11,2010-03-11,Minería,2006-03-11,2008-01-08,668,40,2006,1,1,0,0,1,0,0
"Bitar Chacra, Sergio",Michelle Bachelet,2006-03-11,2010-03-11,Obras Públicas,2008-01-11,2010-03-11,790,67,2008,0,3,0,1,1,1,0
"Bitrán Colodro, Eduardo",Michelle Bachelet,2006-03-11,2010-03-11,Obras Públicas,2006-03-11,2008-01-08,668,48,2006,0,3,0,0,1,1,1
"Cruz Lorenzen, Carlos",Ricardo Lagos,2000-03-11,2006-03-11,Obras Públicas,2000-03-11,2002-01-07,667,48,2000,0,2,1,0,0,0,1
"De Solminihac Tampier, Hernán",Sebastián Piñera,2010-03-11,2014-03-11,Obras Públicas,2010-03-11,2011-07-18,494,52,2010,0,0,0,0,0,0,0
"Estévez Valencia, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Obras Públicas,2005-01-03,2006-03-11,432,58,2005,0,4,1,1,1,1,0
"Etcheberry Celhay, Javier",Ricardo Lagos,2000-03-11,2006-03-11,Obras Públicas,2002-01-07,2005-01-03,1092,54,2002,0,2,1,0,0,0,1
"Golborne Riveros, Laurence",Sebastián Piñera,2010-03-11,2014-03-11,Obras Públicas,2011-07-18,2012-11-05,476,50,2011,0,1,0,0,0,0,1
"Silva Rojas, María Loreto",Sebastián Piñera,2010-03-11,2014-03-11,Obras Públicas,2012-11-05,2014-03-11,491,48,2012,1,0,0,0,0,0,0
"Fernández Amunátegui , Mariano",Michelle Bachelet,2006-03-11,2010-03-11,Relaciones Exteriores,2009-03-13,2010-03-11,363,63,2009,0,2,0,0,1,1,0
"Foxley Rioseco, Alejandro",Michelle Bachelet,2006-03-11,2010-03-11,Relaciones Exteriores,2006-03-11,2009-03-12,1097,66,2006,0,3,0,1,1,1,0
"Insulza Salinas, José Miguel",Eduardo Frei,1994-03-11,2000-03-11,Relaciones Exteriores,1994-09-20,1999-06-22,1736,51,1994,0,0,0,0,0,0,0
"Artaza Barrios, Osvaldo",Ricardo Lagos,2000-03-11,2006-03-11,Salud,2002-01-07,2003-03-03,420,46,2002,0,2,0,0,1,1,0
"Erazo Latorre, Álvaro",Michelle Bachelet,2006-03-11,2010-03-11,Salud,2008-11-06,2010-03-11,490,50,2008,0,3,1,0,1,1,0
"Figueroa Muñoz, Álex",Eduardo Frei,1994-03-11,2000-03-11,Salud,1996-08-07,2000-03-11,1312,34,1996,0,2,0,0,1,1,0
"García Aspillaga, Pedro",Ricardo Lagos,2000-03-11,2006-03-11,Salud,2003-03-03,2006-03-11,1104,42,2003,0,1,1,0,0,0,0
"Massad Abud, Carlos",Eduardo Frei,1994-03-11,2000-03-11,Salud,1994-03-11,1996-08-07,880,61,1994,0,4,1,0,1,1,1
"Mañalich Muxi, Jaime",Sebastián Piñera,2010-03-11,2014-03-11,Salud,2010-03-11,2014-03-11,1461,55,2010,0,2,0,0,1,0,1
"Bachelet Jeria, Michelle",Ricardo Lagos,2000-03-11,2006-03-11,Salud,2000-03-11,2002-01-07,667,48,2000,1,2,0,0,1,1,0
"Albornoz Pollman, Laura",Michelle Bachelet,2006-03-11,2010-03-11,SERNAM,2006-03-11,2009-10-19,1318,37,2006,1,1,1,0,0,0,0
"Bilbao Mendezona, Josefina",Eduardo Frei,1994-03-11,2000-03-11,SERNAM,1994-03-11,2000-03-11,2192,61,1994,1,0,0,0,0,0,0
"Delpiano Puelma, Adriana",Ricardo Lagos,2000-03-11,2006-03-11,SERNAM,2000-03-11,2003-03-03,1087,53,2000,1,0,0,0,0,0,0
"Pérez Díaz, Cecilia",Ricardo Lagos,2000-03-11,2006-03-11,SERNAM,2003-03-03,2006-03-11,1104,36,2003,1,0,0,0,0,0,0
"Seguel King, Loreto",Sebastián Piñera,2010-03-11,2014-03-11,SERNAM,2013-04-22,2014-03-11,323,36,2013,1,2,0,0,1,1,0
"Arrate Mac Niven, Jorge",Eduardo Frei,1994-03-11,2000-03-11,Trabajo y Previsión Social,1994-03-11,1998-08-01,1604,52,1994,0,3,1,0,1,1,0
"Cortázar Sanz, René",Patricio Aylwin,1990-03-11,1994-03-11,Trabajo y Previsión Social,1990-03-11,1994-03-11,1461,38,1990,0,3,0,0,1,1,1
"Ljubetic Godoy, Yerko",Ricardo Lagos,2000-03-11,2006-03-11,Trabajo y Previsión Social,2005-04-22,2006-03-11,323,44,2005,0,1,0,0,1,0,0
"Molina Valdivieso, Germán",Eduardo Frei,1994-03-11,2000-03-11,Trabajo y Previsión Social,1998-08-01,2000-03-11,588,55,1998,0,2,0,0,1,1,0
"Solari Saavedra, Ricardo",Ricardo Lagos,2000-03-11,2006-03-11,Trabajo y Previsión Social,2000-03-11,2005-04-25,1871,45,2000,0,2,0,0,1,1,0
"Merino Catalán, Camila",Sebastián Piñera,2010-03-11,2014-03-11,Trabajo y Previsión Social,2010-03-11,2011-01-14,309,42,2010,1,2,0,0,1,0,1
"Serrano Madrid, Claudia",Michelle Bachelet,2006-03-11,2010-03-11,Trabajo y Previsión Social,2008-12-15,2010-03-11,451,51,2008,1,2,0,0,1,1,0
"Correa Díaz, Germán",Patricio Aylwin,1990-03-11,1994-03-11,Transporte y Telecomunicaciones,1990-03-11,1992-09-28,932,50,1990,0,0,0,0,0,0,0
"Cortázar Sanz, René",Michelle Bachelet,2006-03-11,2010-03-11,Transporte y Telecomunicaciones,2007-03-27,2010-03-11,1080,55,2007,0,3,1,0,1,0,1
"Cruz Lorenzen, Carlos",Ricardo Lagos,2000-03-11,2006-03-11,Transporte y Telecomunicaciones,2000-03-11,2002-01-07,667,48,2000,0,2,1,0,0,0,1
"Espejo Yaksic, Sergio",Michelle Bachelet,2006-03-11,2010-03-11,Transporte y Telecomunicaciones,2006-03-11,2007-03-27,381,38,2006,0,3,1,0,1,1,0
"Estévez Valencia, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Transporte y Telecomunicaciones,2005-01-03,2006-03-11,432,58,2005,0,4,1,1,1,1,0
"Etcheberry Celhay, Javier",Ricardo Lagos,2000-03-11,2006-03-11,Transporte y Telecomunicaciones,2002-01-07,2005-01-03,1092,54,2002,0,2,1,0,0,0,1
"Hohmann Barrientos, Claudio",Eduardo Frei,1994-03-11,2000-03-11,Transporte y Telecomunicaciones,1996-09-28,2000-03-11,1260,42,1996,0,0,0,0,0,0,0
"Irureta Aburto, Narciso",Eduardo Frei,1994-03-11,2000-03-11,Transporte y Telecomunicaciones,1994-03-11,1996-09-28,932,69,1994,0,3,0,1,1,1,0
"Molina Valdivieso, Germán",Patricio Aylwin,1990-03-11,1994-03-11,Transporte y Telecomunicaciones,1992-09-28,1994-03-11,529,49,1992,0,2,0,0,1,1,0
"Etchegaray Aubry, Alberto",Patricio Aylwin,1990-03-11,1994-03-11,Vivienda y Urbanismo,1990-03-11,1994-03-11,1461,44,1990,0,1,0,0,1,0,0
"Henríquez Díaz, Sergio",Eduardo Frei,1994-03-11,2000-03-11,Vivienda y Urbanismo,1997-07-24,2000-03-11,961,42,1997,0,2,1,0,0,0,1
"Hermosilla Hermosilla, Edmundo",Eduardo Frei,1994-03-11,2000-03-11,Vivienda y Urbanismo,1994-03-11,1997-07-24,1231,37,1994,0,2,1,0,0,0,1
"Ravinet de La Fuente, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Vivienda y Urbanismo,2000-12-29,2004-10-01,1372,54,2000,0,3,1,0,1,1,0
"Poblete Bennett, Patricia",Michelle Bachelet,2006-03-11,2010-03-11,Vivienda y Urbanismo,2006-03-11,2010-03-11,1461,59,2006,1,0,0,0,0,0,0
"Tschorne Berestesky, Sonia",Ricardo Lagos,2000-03-11,2006-03-11,Vivienda y Urbanismo,2004-09-29,2006-03-11,528,49,2004,1,1,1,0,0,0,0
