id,elección,elección_tipo,región,region2,distrito2,distrito,número_papeleta,electo,coord1D_all,coord2D_all,coord1D_normal_all,coord2D_normal_all,nombre_completo,sexo,edad,profesión,lista,lista_box,partido,militante,directivo,agua,cebra,n_votos,p_votos,magnitud_distrital,votos_servel,porcentaje_servel,votos_servel_ld,p_votos_ld,kast_1v2021,boric_1v2021,borickast_1v2021,jadue_pr2021,electo_noparidad,electo_paridad,paridad_servel,min_patrocinios_indlistas,min_patrocinios_ifp,n_aportes,dinero_aportes,tope_distrito,miembro_voceriadelpueblo,coord1D_mil,coord2D_mil,coord1D_normal_mil,coord2D_normal_mil,coord1D_tresmil,coord2D_tresmil,coord1D_normal_tresmil,coord2D_normal_tresmil
740,Convencionales Constituyentes,1,O'Higgins,6,#D15 - Rancagua,15,P2,1,-0.829597175,-0.049934935,0.852014124,4.750325326,Alvin Antonio Saldaña Muñoz,0,44,Abogado,Movimientos Sociales Autonomos (D15),Independent,IND,0,0,0,0,8870,4.9,5,8870,4.9,22911,38.71502772,24.87,25.51,50.38,19.38858237,1,1,0,1019,408,30,7915667,207308257,0,-0.816509962,0.043870937,0.91745019,5.219354685,-0.806314528,-0.122303694,0.96842736,4.388481528
472,Convencionales Constituyentes,1,Metropolitana,5.5,#D10 - Santiago,10,XP15,1,0.333833218,-0.054782096,6.669166088,4.726089519,Cristian Monckeberg Bruner,0,52,Abogado,Vamos Por Chile,Vamos por Chile,RN,1,0,0,0,18553,4.36,7,18553,4.36,91960,20.17507612,24.65,36.64,61.29,23.66695307,1,1,0,2345,938,30,94537000,443603850,0,0.330324471,0.037186962,6.651622355,5.185934808,0.347444445,0.704034925,6.737222224,8.520174623
724,Convencionales Constituyentes,1,Metropolitana,5.5,#D14 - San Bernardo,14,YQ17,1,-0.553863108,-0.832607746,2.230684459,0.836961269,Ignacio Jaime Achurra Diaz,0,41,Actor ,Apruebo Dignidad,Apruebo Dignidad - FA,CS,1,0,0,0,29524,9.75,5,29524,9.75,73276,40.29150063,26.12,27.98,54.1,23.68403608,1,1,0,1680,672,31,10060312,341205375,0,-0.485797584,-0.836572707,2.57101208,0.817136467,-0.489421636,-0.850245595,2.552891821,0.748772025
1212,Convencionales Constituyentes,1,Los Lagos,10,#D26 - Puerto Montt,26,ZA29,1,-0.448045582,-0.180400223,2.759772092,4.097998887,Gaspar Roberto Dominguez Donoso,0,32,Médico,Independientes Nueva Constitucion (D26),Independent,IND,0,1,0,0,6398,4.87,4,6398,4.87,18335,34.89500954,30.41,21.99,52.4,21.16092252,1,1,0,802,321,33,4408000,197563465,0,-0.415868551,-0.234527633,2.920657247,3.827361837,-0.428806484,0.118430972,2.855967581,5.59215486
769,Convencionales Constituyentes,1,O'Higgins,6,#D15 - Rancagua,15,YQ31,1,-0.616723716,-0.650076807,1.916381419,1.749615967,Damaris Abarca Gonzalez,1,31,Ajedrecista,Apruebo Dignidad,Apruebo Dignidad - FA,CS-IND,0,0,0,1,6011,3.32,5,6011,3.32,21541,27.90492549,24.87,25.51,50.38,19.38858237,1,1,0,1019,408,33,4001312,207308257,0,-0.514239192,-0.775493264,2.42880404,1.122533679,-0.631942987,-0.578852832,1.840285063,2.105735838
823,Convencionales Constituyentes,1,Maule,7,#D17 - Talca,17,XP9,1,0.458770722,-0.096845783,7.293853611,4.515771084,Barbara Rebolledo Aguirre,1,48,Periodista,Vamos Por Chile,Vamos por Chile,EVO-IND,0,0,0,0,18096,7.94,7,18096,7.94,57486,31.47896879,28.63,20.6,49.23,17.61074547,1,1,0,1369,548,36,58534113,265633177,0,0.390009284,0.046957549,6.95004642,5.234787744,0.492935628,0.656200767,7.464678138,8.281003833
1336,Escaños Reservados,0,Bío-Bío,8,,,117,1,-0.897232294,0.441558897,0.51383853,7.207794487,Natividad Llanquileo Pilquiman,1,36,Abogada,,Indigenous Community,,0,1,0,0,13124,6.02,4,13124,6.02,21844,60.08057132,32.6,19.17,51.77,16.80635468,1,1,0,,,37,265000,476036105,1,-0.898769498,0.438421398,0.506152511,7.192106992,-0.953910589,0.300091177,0.230447054,6.500455886
189,Convencionales Constituyentes,1,Coquimbo,4,#D5 - La Serena,5,YQ37,1,-0.602031946,-0.710745811,1.989840269,1.446270943,Jeniffer Valeria Mella Escobar,1,40,Abogada,Apruebo Dignidad,Apruebo Dignidad - FA,CS-IND,0,0,1,0,13368,5.93,6,13368,5.93,37401,35.74235983,21.63,25.88,47.51,24.79042156,1,1,0,1285,504,37,3809612,279095192,0,-0.459282219,-0.8599841,2.703588903,0.700079501,-0.632220805,-0.611691952,1.838895977,1.941540241
968,Convencionales Constituyentes,1,Bío-Bío,8,#D20 - Concepción,20,YQ39,1,-0.577832341,-0.776773155,2.110838294,1.116134226,Amaya Paulina Alvez Marin,1,50,Abogada ,Apruebo Dignidad,Apruebo Dignidad - FA,RD,1,1,0,0,18459,6.05,7,18459,6.05,45023,40.99904493,29.1,21.93,51.03,18.08837527,1,1,0,1888,755,37,12812060,358593039,0,-0.497969329,-0.781247437,2.510153353,1.093762815,-0.577083826,-0.708536088,2.11458087,1.457319558
826,Convencionales Constituyentes,1,Maule,7,#D17 - Talca,17,XP12,1,0.707192421,0.356342316,8.535962105,6.781711578,Alfredo Moreno Echeverria,0,39,Ingeniero Comercial,Vamos Por Chile,Vamos por Chile,UDI-IND,0,0,0,0,11343,4.98,7,11343,4.98,57486,19.73176078,28.63,20.6,49.23,17.61074547,1,1,0,1369,548,38,96943000,265633177,0,0.564176202,0.361358374,7.820881009,6.806791872,0.78361547,-0.079232424,8.91807735,4.603837878
