date,eleccion,delta,encuesta,encuestados,metodo,tipo,prob,precision_kast,Kast,precision_boric,Boric,precision sichel,Sichel,precision parisi,Parisi,precision_provoste,Provoste,precision_enriquez,Enriquez,precision_artes,Artes,precision_promedio,nsnr,pregunta
2021-10-15,2021-11-17,33,Activa Research,901,online,closed,1,7.80,20.20,5.30,31.30,4.10,8.90,6.10,6.90,4.50,16.50,4.30,3.70,1.40,2.40,4.79,9.80,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-14,2021-11-17,34,Cadem,706,online,closed,0,7.00,21.00,6.00,20.00,6.00,7.00,7.00,6.00,0.00,12.00,4.00,4.00,2.00,3.00,4.57,27.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-14,2021-11-17,34,Cadem,100,online,closed,1,1.00,29.00,1.00,27.00,3.00,10.00,5.00,8.00,4.00,16.00,2.00,6.00,3.00,4.00,2.71,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-08,2021-11-17,40,Cadem,704,online,closed,0,10.00,18.00,5.00,21.00,3.00,10.00,7.00,6.00,1.00,13.00,4.00,4.00,0.00,1.00,4.29,27.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-08,2021-11-17,40,Cadem,100,online,closed,1,3.00,25.00,3.00,29.00,1.00,14.00,5.00,8.00,6.00,18.00,3.00,5.00,0.00,1.00,3.00,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-07,2021-11-17,41,Panel Ciudadano,5011,online,closed,0,9.00,19.00,2.00,24.00,1.00,14.00,7.00,6.00,2.00,10.00,4.00,4.00,1.00,2.00,3.71,,¿Por quién votaría si las elecciones fueran este domingo?
2021-10-05,2021-11-17,43,Criteria Research,1485,online,open,0,11.00,17.00,0.00,26.00,2.00,15.00,8.00,5.00,1.00,11.00,5.00,3.00,0.00,1.00,3.86,14.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera? (ÚNICA MENCIÓN EN PREGUNTA ABIERTA)"
2021-10-04,2021-11-17,44,Data Influye,1446,online,closed,1,11.90,16.10,0.30,25.70,0.90,12.10,8.10,4.90,0.50,11.50,4.30,3.70,2.10,3.10,4.01,19.00,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile? (lista cerrada)"
2021-10-01,2021-11-17,47,Activa Research,1601,online,closed,0,14.00,14.00,6.20,19.80,0.50,12.50,7.30,5.70,3.40,8.60,5.30,2.70,0.40,1.40,5.30,24.00,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-01,2021-11-17,47,Activa Research,878,online,closed,1,10.70,17.30,3.70,29.70,2.30,15.30,5.40,7.60,0.80,11.20,4.90,3.10,0.80,1.80,4.09,13.80,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-01,2021-11-17,47,Cadem,705,online,closed,0,13.00,15.00,4.00,22.00,1.00,12.00,8.00,5.00,0.00,12.00,3.00,5.00,0.00,1.00,4.14,28.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-01,2021-11-17,47,Cadem,100,online,closed,1,7.00,21.00,4.00,30.00,4.00,17.00,6.00,7.00,5.00,17.00,1.00,7.00,0.00,1.00,3.86,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-24,2021-11-17,54,Cadem,703,online,closed,0,15.00,13.00,3.00,23.00,4.00,17.00,8.00,5.00,2.00,10.00,4.00,4.00,1.00,2.00,5.29,26.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-24,2021-11-17,54,Cadem,100,online,closed,1,10.00,18.00,5.00,31.00,10.00,23.00,6.00,7.00,2.00,14.00,3.00,5.00,1.00,2.00,5.29,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-24,2021-11-17,54,Panel Ciudadano,944,online,closed,0,16.00,12.00,0.00,26.00,3.00,16.00,9.00,4.00,3.00,9.00,4.00,4.00,2.00,3.00,5.29,26.00,¿Por quién votaría si las elecciones fueran este domingo?
2021-09-16,2021-11-17,62,Cadem,709,online,closed,0,18.00,10.00,1.00,25.00,4.00,17.00,7.00,6.00,3.00,9.00,3.00,5.00,0.00,1.00,5.14,27.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-16,2021-11-17,62,Cadem,100,online,closed,1,14.00,14.00,8.00,34.00,11.00,24.00,5.00,8.00,0.00,12.00,2.00,6.00,1.00,2.00,5.86,0.00,"Evolutivo Preferencias – Entre quienes señalan preferencia (base 100) Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-14,2021-11-17,64,La Cosa Nostra,600,online,closed,1,16.00,12.00,10.00,36.00,14.00,27.00,8.00,5.00,3.00,15.00,5.50,2.50,1.50,2.50,8.29,0.00,"Actualmente hay siete candidaturas inscritas oficialmente en el SERVEL, ¿por quién votará usted en las elecciones de noviembre?"
2021-09-10,2021-11-17,68,Cadem,705,online,closed,0,19.00,9.00,4.00,22.00,6.00,19.00,5.00,8.00,2.00,10.00,5.00,3.00,1.00,,6.00,29.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
