año,partido,sector,puntaje,independiente,votos,tipo,tipo2,transicion
1992,Participación y Progreso,Center-Right,7,0,383066,0,Municipal,3
1996,Unión por Chile,Right,8,0,976608,0,Municipal,7
1992,Participación y Progreso,Center-Right,7,0,860808,0,Municipal,3
1996,Unión por Chile,Center-Right,7,0,863816,0,Municipal,7
1992,Concertación,Center-Left,4.5,0,26788,0,Municipal,3
1992,Concertación,Center-Left,4,0,547079,0,Municipal,3
1996,Concertación,Center-Left,4,0,675635,0,Municipal,7
2000,Concertación de Partidos por la Democracia,Center-Left,4,0,734575,0,Municipal,11
1992,Unión de Centro Centro,Center-Right,6,0,519017,0,Municipal,3
2000,Centro Centro,Center-Right,7,0,10594,0,Municipal,11
1996,Independientes progresistas por Centro Centro,Center-Right,7,0,11553,0,Municipal,7
1992,Participación y Progreso,Far Right,9,0,652668,0,Municipal,3
1996,Unión por Chile,Far Right,9,0,212160,0,Municipal,7
2000,Alianza por Chile,Far Right,9,0,1040349,0,Municipal,11
2017,Sumemos,Center-Right,6,0,62608,0,Senador,28
2021,Independientes Unidos,Center-Right,6,0,130406,0,Senador,32
2017,Sumemos,Center,4.75,0,45534,0,Senador,28
2021,Apruebo Dignidad,Left,3,0,114453,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,15929,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,43579,0,Senador,32
2017,Coalicion Regionalista Verde,Left,3,0,518,0,Senador,28
2021,Chile Podemos +,Center-Right,7,0,149847,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,15828,0,Senador,32
2021,Apruebo Dignidad,Far Left,1,0,15766,0,Senador,32
2021,Nuevo Pacto Social,Center-Left,3.5,0,26107,0,Senador,32
2021,Nuevo Pacto Social,Center-Left,3.5,0,24266,0,Senador,32
2021,Chile Podemos +,Center-Right,6,0,218166,0,Senador,32
2021,Nuevo Pacto Social,Center-Left,3.5,0,3846,0,Senador,32
2017,Chile Vamos,Center-Right,6,0,67790,0,Senador,28
2021,Chile Podemos +,Center-Right,6.5,0,21673,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,172485,0,Senador,32
2017,Coalicion Regionalista Verde,Left,3,0,2397,0,Senador,28
2021,Dignidad Ahora,Left,2,0,41330,0,Senador,32
2021,Independientes Unidos,Right,8,0,27456,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,57772,0,Senador,32
2021,Dignidad Ahora,Left,2,0,41014,0,Senador,32
2021,Frente Social Cristiano,Right,8.5,0,12669,0,Senador,32
2021,Dignidad Ahora,Left,2,0,981,0,Senador,32
2021,Independientes Unidos,Right,8,0,7145,0,Senador,32
2021,Chile Podemos +,Right,8,0,9298,0,Senador,32
2021,Chile Podemos +,Center-Right,7,0,14382,0,Senador,32
2021,Frente Social Cristiano,Right,8.5,0,23930,0,Senador,32
2017,Por Todo Chile,Left,3,0,6946,0,Senador,28
2017,La Fuerza De La Mayoria,Far Left,1,0,20225,0,Senador,28
2021,Apruebo Dignidad,Far Left,1,0,320309,0,Senador,32
2021,Frente Social Cristiano,Right,8,0,52584,0,Senador,32
2021,Partido De La Gente,Center,5.5,0,377615,0,Senador,32
2021,Partido De Trabajadores Revolucionarios,Far Left,0.5,0,4748,0,Senador,32
2021,Nuevo Pacto Social,Center-Left,3.5,0,214175,0,Senador,32
2017,Convergencia Democratica,Center-Left,4,0,238179,0,Senador,28
2021,Partido Ecologista Verde,Left,2,0,198684,0,Senador,32
2021,Dignidad Ahora,Left,2,0,14880,0,Senador,32
2017,Frente Amplio,Left,2.25,0,62178,0,Senador,28
2017,Frente Amplio,Left,2.25,0,26655,0,Senador,28
2017,Frente Amplio,Left,2.25,0,28753,0,Senador,28
2017,Convergencia Democratica,Center-Left,4,0,650,0,Senador,28
2021,Nuevo Pacto Social,Center-Left,3.5,0,1885,0,Senador,32
2017,La Fuerza De La Mayoria,Center-Left,3.5,0,200309,0,Senador,28
2021,Nuevo Pacto Social,Center-Left,3.5,0,87759,0,Senador,32
2017,Por Todo Chile,Center-Left,3.5,0,15944,0,Senador,28
2021,Nuevo Pacto Social,Center-Left,3.5,0,58163,0,Senador,32
2017,La Fuerza De La Mayoria,Center-Left,3.5,0,34449,0,Senador,28
2021,Chile Podemos +,Center-Right,7,0,10959,0,Senador,32
2021,Frente Social Cristiano,Far Right,9,0,312602,0,Senador,32
2017,La Fuerza De La Mayoria,Center-Left,3.5,0,125199,0,Senador,28
2021,Nuevo Pacto Social,Center-Left,3.5,0,310615,0,Senador,32
2017,Frente Amplio,Left,2.25,0,28474,0,Senador,28
2017,Chile Vamos,Center-Right,6.5,0,349566,0,Senador,28
2021,Chile Podemos +,Center-Right,6.5,0,528408,0,Senador,32
2021,Apruebo Dignidad,Left,3,0,156249,0,Senador,32
2017,Frente Amplio,Left,3,0,38205,0,Senador,28
2017,Sumemos,Center,5.1,0,4753,0,Senador,28
2017,Chile Vamos,Right,8,0,210814,0,Senador,28
2021,Chile Podemos +,Right,8,0,345608,0,Senador,32
2017,Union Patriotica,Far Left,0.5,0,7273,0,Senador,28
2021,Union Patriotica,Far Left,0.5,0,40931,0,Senador,32
