country,year,general_consumption_price,domestic_absorption_price,household_consumption_price,output-side_gdp_price,exchange_rate
Argentina,1950,0.200355664,0.220171645,0.193067178,0.214472651,0.00000000000091604707854811
Argentina,1951,0.219622388,0.238291398,0.213861853,0.237590447,0.00000000000115547250459923
Argentina,1952,0.235865846,0.251157701,0.229605213,0.24855651,0.00000000000138805730274315
Argentina,1953,0.238648981,0.254907995,0.230860144,0.246106237,0.00000000000149782650897510
Argentina,1954,0.238441542,0.254359871,0.229684114,0.245493189,0.00000000000160310797430445
Argentina,1955,0.239595115,0.254510015,0.231291741,0.249911353,0.00000000000175251338243406
Argentina,1956,0.249156624,0.265222341,0.244171783,0.26014927,0.00000000000217526092347506
Argentina,1957,0.25252527,0.272518992,0.249352962,0.266153902,0.00000000000251701300281743
Argentina,1958,0.255636066,0.27598995,0.247361436,0.269746542,0.00000000000327570599767379
Argentina,1959,0.265893728,0.282844275,0.263632536,0.278037429,0.00000000000651740889839044
Argentina,1960,0.274167091,0.293128341,0.271127164,0.29126063,0.00000000000760807276614756
Argentina,1961,0.258062005,0.290903538,0.259216487,0.293483168,0.00000000000909709360706620
Argentina,1962,0.293344438,0.310688287,0.283076614,0.292266786,0.00000000001150843274823680
Argentina,1963,0.291770905,0.306330621,0.289021909,0.295164675,0.00000000001409980457247250
Argentina,1964,0.297374606,0.315216064,0.302358985,0.308935553,0.00000000001776854548163540
Argentina,1965,0.278839946,0.304246813,0.27665624,0.306141019,0.00000000002152660430609540
Argentina,1966,0.294392586,0.315423667,0.284090459,0.308485806,0.00000000002639183139065640
Argentina,1967,0.293743938,0.318204015,0.285950869,0.31450972,0.00000000003329997145790170
Argentina,1968,0.313442439,0.33851549,0.307576984,0.33427313,0.00000000003499996769825380
Argentina,1969,0.342697203,0.371115774,0.335502833,0.363051325,0.00000000003499996769825380
Argentina,1970,0.337275863,0.366559267,0.328305185,0.355200708,0.00000000003791666665666670
Argentina,1971,0.388605863,0.420562804,0.378794163,0.414095819,0.00000000004521666665666670
Argentina,1972,0.360800683,0.388746858,0.35476923,0.384919167,0.00000000007931094903043640
Argentina,1973,0.390915006,0.416496247,0.374973238,0.412125528,0.00000000012079492192787800
Argentina,1974,0.416151851,0.445494413,0.391165584,0.4409464,0.00000000014719412290288400
Argentina,1975,0.41330719,0.479659587,0.386188209,0.476304948,0.00000000040655879684133200
Argentina,1976,0.442090631,0.515404165,0.433864206,0.504177809,0.00000000203708508482949000
Argentina,1977,0.49488008,0.558321834,0.490428418,0.532076418,0.00000000498617308060974000
Argentina,1978,0.535812557,0.596313655,0.519769847,0.560054481,0.00000001205740911977810000
Argentina,1979,0.58267951,0.632928371,0.566070139,0.609385014,0.00000002831579841395380000
Argentina,1980,0.608356774,0.656665742,0.576843917,0.669201136,0.00000005089013057944160000
Argentina,1981,0.640374899,0.684763312,0.608978212,0.687822998,0.00000009568491190734000000
Argentina,1982,0.643187642,0.701264024,0.612472951,0.672782719,0.00000027206572737563900000
Argentina,1983,0.638431668,0.693739057,0.608351052,0.668727756,0.00000126012088402414000000
Argentina,1984,0.636185288,0.688728213,0.608552694,0.664199829,0.00000861222555192081000000
Argentina,1985,0.647379816,0.687523305,0.630102634,0.649871826,0.00006018090000000000000000
